entries,size,statuses,profile_reversal_family,coefficient_min,coefficient_max,perron_sensitivity,perron_contribution
"[[[5,1,1,5],[0,0,1,5]],[[5,1,1,5],[5,1,0,0]]]",2,provisional_common_1_over_q_target,"[5,1,1,5]",0.03125,0.03125,0.0017224099939249385,5.382531231015433e-05
"[[[1,5,1,5],[0,0,1,5]],[[1,5,1,5],[1,5,0,0]],[[5,1,5,1],[0,0,5,1]],[[5,1,5,1],[5,1,0,0]]]",4,provisional_common_1_over_q_target,"[1,5,1,5]",0.03125,0.03125,0.0015724143796648161,4.9137949364525504e-05
"[[[1,5,3,3],[0,0,3,3]],[[1,5,3,3],[1,5,0,0]],[[3,3,5,1],[0,0,5,1]],[[3,3,5,1],[3,3,0,0]]]",4,provisional_common_1_over_q_target,"[1,5,3,3]",0.03125,0.03125,0.0010212124743741251,3.191288982419141e-05
"[[[3,3,3,3],[0,0,3,3]],[[3,3,3,3],[3,3,0,0]]]",2,provisional_common_1_over_q_target,"[3,3,3,3]",0.03125,0.03125,0.0007264985394835298,2.2703079358860306e-05
"[[[1,5,5,1],[0,0,5,1]],[[1,5,5,1],[1,5,0,0]]]",2,provisional_common_1_over_q_target,"[1,5,5,1]",0.03125,0.03125,0.00035887027335206555,1.1214696042252048e-05
"[[[3,3,1,5],[1,2,0,3]],[[3,3,1,5],[2,1,1,2]],[[5,1,3,3],[2,1,1,2]],[[5,1,3,3],[3,0,2,1]]]",4,provisional_common_1_over_q_target,"[3,3,1,5]",0.03125,0.03125,2.657273361880424e-21,8.303979255876325e-23
"[[[3,1,3,5],[1,0,2,3]],[[3,1,3,5],[2,1,1,2]],[[5,3,1,3],[2,1,1,2]],[[5,3,1,3],[3,2,0,1]]]",4,provisional_common_1_over_q_target,"[3,1,3,5]",0.03125,0.03125,2.302354697118756e-21,7.194858428496112e-23
"[[[3,1,1,7],[1,0,0,5]],[[3,1,1,7],[2,1,1,2]],[[7,1,1,3],[2,1,1,2]],[[7,1,1,3],[5,0,0,1]]]",4,provisional_common_1_over_q_target,"[3,1,1,7]",0.03125,0.03125,2.237413525778492e-21,6.991917268057787e-23
"[[[1,3,3,5],[0,1,1,4]],[[1,3,3,5],[1,2,2,1]],[[5,3,3,1],[1,2,2,1]],[[5,3,3,1],[4,1,1,0]]]",4,provisional_common_1_over_q_target,"[1,3,3,5]",0.03125,0.03125,1.7212803947298873e-21,5.379001233530898e-23
"[[[3,3,3,3],[1,2,2,1]],[[3,3,3,3],[2,1,1,2]]]",2,provisional_common_1_over_q_target,"[3,3,3,3]",0.03125,0.03125,1.6263977856566151e-21,5.0824930801769223e-23
"[[[3,1,3,5],[0,1,1,4]],[[3,1,3,5],[3,0,2,1]],[[5,3,1,3],[1,2,0,3]],[[5,3,1,3],[4,1,1,0]]]",4,provisional_common_1_over_q_target,"[3,1,3,5]",0.03125,0.03125,1.4061481703863034e-21,4.394213032457198e-23
"[[[1,3,1,7],[0,1,1,4]],[[1,3,1,7],[1,2,0,3]],[[7,1,3,1],[3,0,2,1]],[[7,1,3,1],[4,1,1,0]]]",4,provisional_common_1_over_q_target,"[1,3,1,7]",0.03125,0.03125,1.406148170386292e-21,4.3942130324571624e-23
"[[[3,1,5,3],[1,0,4,1]],[[3,1,5,3],[2,1,1,2]],[[3,5,1,3],[1,4,0,1]],[[3,5,1,3],[2,1,1,2]]]",4,provisional_common_1_over_q_target,"[3,1,5,3]",0.03125,0.03125,1.3526961871631844e-21,4.227175584884951e-23
"[[[1,5,3,3],[0,3,1,2]],[[1,5,3,3],[1,2,2,1]],[[3,3,5,1],[1,2,2,1]],[[3,3,5,1],[2,1,3,0]]]",4,provisional_common_1_over_q_target,"[1,5,3,3]",0.03125,0.03125,1.3039295206823612e-21,4.074779752132379e-23
"[[[3,3,1,5],[0,1,1,4]],[[3,3,1,5],[3,2,0,1]],[[5,1,3,3],[1,0,2,3]],[[5,1,3,3],[4,1,1,0]]]",4,provisional_common_1_over_q_target,"[3,3,1,5]",0.03125,0.03125,1.2183360174291228e-21,3.807300054466009e-23
"[[[1,1,3,7],[0,1,1,4]],[[1,1,3,7],[1,0,2,3]],[[7,3,1,1],[3,2,0,1]],[[7,3,1,1],[4,1,1,0]]]",4,provisional_common_1_over_q_target,"[1,1,3,7]",0.03125,0.03125,1.2183360174290816e-21,3.80730005446588e-23
"[[[1,3,5,3],[0,1,3,2]],[[1,3,5,3],[1,2,2,1]],[[3,5,3,1],[1,2,2,1]],[[3,5,3,1],[2,3,1,0]]]",4,provisional_common_1_over_q_target,"[1,3,5,3]",0.03125,0.03125,1.2052195100436247e-21,3.766310968886327e-23
"[[[5,1,1,5],[0,1,1,4]],[[5,1,1,5],[1,0,0,5]],[[5,1,1,5],[4,1,1,0]],[[5,1,1,5],[5,0,0,1]]]",4,provisional_common_1_over_q_target,"[5,1,1,5]",0.03125,0.03125,1.1839711264950497e-21,3.69990977029703e-23
"[[[1,5,1,5],[0,3,1,2]],[[1,5,1,5],[1,2,0,3]],[[5,1,5,1],[2,1,3,0]],[[5,1,5,1],[3,0,2,1]]]",4,provisional_common_1_over_q_target,"[1,5,1,5]",0.03125,0.03125,1.0652059451986737e-21,3.3287685787458554e-23
"[[[3,3,3,3],[0,3,1,2]],[[3,3,3,3],[1,2,0,3]],[[3,3,3,3],[2,1,3,0]],[[3,3,3,3],[3,0,2,1]]]",4,provisional_common_1_over_q_target,"[3,3,3,3]",0.03125,0.03125,1.0652059451986606e-21,3.328768578745814e-23
"[[[3,1,1,7],[0,1,1,4]],[[3,1,1,7],[3,0,0,3]],[[7,1,1,3],[3,0,0,3]],[[7,1,1,3],[4,1,1,0]]]",4,provisional_common_1_over_q_target,"[3,1,1,7]",0.03125,0.03125,1.0269903970321257e-21,3.209344990725393e-23
"[[[1,3,3,5],[0,1,3,2]],[[1,3,3,5],[1,2,0,3]],[[5,3,3,1],[2,3,1,0]],[[5,3,3,1],[3,0,2,1]]]",4,provisional_common_1_over_q_target,"[1,3,3,5]",0.03125,0.03125,9.845677753319555e-22,3.076774297912361e-23
"[[[3,1,5,3],[0,1,3,2]],[[3,1,5,3],[3,0,2,1]],[[3,5,1,3],[1,2,0,3]],[[3,5,1,3],[2,3,1,0]]]",4,provisional_common_1_over_q_target,"[3,1,5,3]",0.03125,0.03125,9.845677753319526e-22,3.076774297912352e-23
"[[[5,1,1,5],[2,1,1,2]],[[5,1,1,5],[3,0,0,3]]]",2,provisional_common_1_over_q_target,"[5,1,1,5]",0.03125,0.03125,9.70379325029011e-22,3.0324353907156594e-23
"[[[1,3,3,5],[0,3,1,2]],[[1,3,3,5],[1,0,2,3]],[[5,3,3,1],[2,1,3,0]],[[5,3,3,1],[3,2,0,1]]]",4,provisional_common_1_over_q_target,"[1,3,3,5]",0.03125,0.03125,9.22931733900172e-22,2.8841616684380377e-23
